きゃくせき,客席
ぎゃくてん,逆転
きゃくほん,脚本
きゃくま,客間
きゃしゃ,華奢
きゃっかん,客観
キャッチ
キャプテン
キャリア
ギャング
キャンパス
キャンプ
きゅう,九
きゅう,旧
きゅう,級
きゅう,球
きゅうえん,救援
きゅうか,休暇
きゅうがく,休学
きゅうぎょう,休業
きゅうきょく,究極
きゅうくつ,窮屈
きゅうけい,休憩
きゅうげき,急激
きゅうこう,急行
きゅうこう,休講
きゅうこん,球根
きゅうさい,救済
きゅうじ,給仕
きゅうしゅう,吸収
きゅうじょ,救助
きゅうしょく,給食
きゅうせん,休戦
きゅうそく,急速
きゅうそく,休息
きゅうでん,宮殿
きゅうに,急に
きゅうち,旧知
ぎゅうにゅう,牛乳
きゅうぼう,窮乏
きゅうよ,給与
きゅうよう,休養
きゅうりょう,給料
きゅうりょう,丘陵
きよ,寄与
きよい,清い
きよう,器用
きょう,今日
きょうい,驚異
きょういく,教育
きょういん,教員
きょうか,強化
きょうか,教科
きょうかい,教会
きょうかい,境界
きょうかい,協会
きょうがく,共学
きょうかしょ,教科書
きょうかん,共感
きょうぎ,競技
きょうぎ,協議
ぎょうぎ,行儀
きょうきゅう,供給
きょうぐう,境遇
きょうくん,教訓
きょうこう,強行
きょうこう,強硬
きょうざい,教材
きょうさく,凶作
きょうし,教師
ぎょうじ,行事
きょうしつ,教室
ぎょうしゃ,業者
きょうじゅ,教授
きょうじゅ,享受
きょうしゅう,教習
きょうしゅう,郷愁
きょうしゅく,恐縮
きょうしょく,教職
きょうじる,きょうずる,興じる
きょうせい,強制
ぎょうせい,行政
ぎょうせき,業績
きょうそう,競争
きょうぞん,共存
きょうだい,兄弟
きょうちょう,強調
きょうちょう,協調
きょうつう,共通
きょうてい,協定
きょうど,郷土
きょうどう,共同
きょうはく,脅迫
きょうふ,恐怖
きょうみ,興味
ぎょうむ,業務
きょうめい,共鳴
きょうよう,教養
きょうり,郷里
きょうりょく,協力
きょうりょく,強力
きょうれつ,強烈
ぎょうれつ,行列
きょうわ,共和
きょか,許可
ぎょぎょう,漁業
きょく,曲
きょく,局
きょくげん,局限,極限
きょくせん,曲線
きょくたん,極端
きょじゅう,居住
きょぜつ,拒絶
ぎょせん,漁船
ぎょそん,漁村
きょだい,巨大
きょねん,去年
きょひ,拒否
きょよう,許容
きよらか,清らか
きょり,距離
きらい,嫌い
きらう,嫌う
きらく,気楽
きらびやか
きり,切り
きり,霧
ぎり,義理
きりかえる,切り替える
きりつ,規律
きりゅう,気流
きる,斬る
きる,着る
きれい,布
きれい
きれめ,切れ目
きれる,切れる
キロ
キロ
きろく,記録
ぎろん,議論
ぎわく,疑惑
きわめて,極めて
きをつける,気を付ける
きん,金
きん,菌
ぎん,銀
きんえん,禁煙
きんがく,金額
きんがん,近眼
きんきゅう,緊急
きんぎょ,金魚
きんこ,金庫
きんこう,近郊
きんこう,均衡
ぎんこう,銀行
きんし,近視
きんし,禁止
きんじょ,近所
きんじる,きんずる,禁じる,禁ずる
きんせん,金銭
きんぞく,金属
きんだい,近代
きんちょう,緊張
きんにく,筋肉
きんべん,勤勉
ぎんみ,吟味
きんむ,勤務
きんもつ,禁物
きんゆう,金融
きんろう,勤労
ぐあい,具合
くいき,区域
くいちがう,食い違う
くう,食う
くうかん,空間
くうき,空気
くうこう,空港
ぐうすう,偶数
ぐうぜん,偶然
くうそう,空想
くうちゅう,空中
クーラー
くうふく,空腹
くかく,区画
くかん,区間
くき,茎
くぎ,釘
くぎり,区切り
くぎる,区切る
